sensorName,firstAttempt,lastAttempt,success,failed,deltaTimeSuccess,deltaTimeFailed
exp49_sensor33,1474609365768,1474609422361,45,7,1461.1333333333334,2779.714285714286
exp49_sensor32,1474609365749,1474609422466,49,5,1381.2244897959183,5989.0
exp49_sensor31,1474609365734,1474609421903,40,8,1531.675,3567.125
exp49_sensor30,1474609365696,1474609423472,50,8,1320.32,3568.25
exp49_sensor11,1474609365094,1474609421183,48,8,1450.2916666666667,3318.0
exp49_sensor10,1474609365033,1474609420289,52,6,1325.7307692307693,4650.5
exp49_sensor15,1474609365207,1474609423354,44,8,1504.3636363636363,3669.25
exp49_sensor8,1474609366141,1474609424271,42,8,1537.095238095238,2951.0
exp49_sensor7,1474609366103,1474609425416,47,9,1312.9574468085107,4130.888888888889
exp49_sensor14,1474609365163,1474609423714,48,10,1402.4583333333333,2581.3
exp49_sensor39,1474609365990,1474609422242,50,8,1278.92,2702.375
exp49_sensor13,1474609365142,1474609422077,46,8,1472.391304347826,2872.25
exp49_sensor9,1474609366166,1474609425536,45,9,1434.9555555555555,4102.888888888889
exp49_sensor12,1474609365111,1474609424330,43,9,1509.1627906976744,3019.6666666666665
exp49_sensor38,1474609365971,1474609424640,43,11,1539.3720930232557,1979.909090909091
exp49_sensor19,1474609365337,1474609425232,48,8,1441.3125,4378.375
exp49_sensor37,1474609365934,1474609420103,53,7,1278.1698113207547,4093.0
exp49_sensor36,1474609365926,1474609425904,46,10,1398.8260869565217,3480.1
exp49_sensor18,1474609365301,1474609421304,46,8,1400.0434782608695,3417.75
exp49_sensor17,1474609365264,1474609422656,48,8,1436.3333333333333,4260.375
exp49_sensor35,1474609365873,1474609423307,48,8,1385.1458333333333,3677.25
exp49_sensor34,1474609365838,1474609422130,49,7,1330.530612244898,2820.5714285714284
exp49_sensor16,1474609365232,1474609420948,49,7,1404.734693877551,3673.1428571428573
exp49_sensor20,1474609365414,1474609423165,48,8,1418.1458333333333,3828.125
exp49_sensor40,1474609366025,1474609421787,43,7,1538.6976744186047,3226.4285714285716
exp49_sensor22,1474609365468,1474609421552,47,7,1414.2978723404256,3286.0
exp49_sensor21,1474609365435,1474609423595,43,9,1542.0232558139535,3264.3333333333335
exp49_sensor24,1474609365519,1474609423045,49,9,1379.7755102040817,3564.777777777778
exp49_sensor23,1474609365489,1474609422188,49,7,1404.4285714285713,2785.4285714285716
exp49_sensor26,1474609365595,1474609422556,50,8,1382.4,4364.0
exp49_sensor25,1474609365566,1474609425113,49,9,1401.5714285714287,4141.222222222223
exp49_sensor28,1474609365638,1474609420887,49,7,1345.7551020408164,3720.4285714285716
exp49_sensor27,1474609365622,1474609425284,44,8,1583.1363636363637,4327.375
exp49_sensor29,1474609365656,1474609421128,53,7,1262.433962264151,3654.714285714286
exp49_sensor1,1474609364959,1474609420156,43,9,1544.6046511627908,3558.0
exp49_sensor2,1474609365372,1474609420707,43,7,1562.8372093023256,4296.714285714285
exp49_sensor5,1474609366047,1474609425479,51,11,1311.764705882353,3057.909090909091
exp49_sensor6,1474609366070,1474609423530,46,8,1449.9565217391305,3530.375
exp49_sensor3,1474609365684,1474609423943,48,8,1405.8125,3215.625
exp49_sensor4,1474609366004,1474609422979,44,8,1474.3181818181818,3860.0
