expriment name, sensor no,interval,firstAttempt,lastAttempt,duration,firstAttemptAvg,lastAttemptAvg,DurationAvg,Total success,Total failed,Average success,Average Failed,deltaTimeSuccess Average,deltaTimeFailed Average, insert per seconde total
88,70,0,1474619196292,1474619257485,61.193,1474619197267,1474619254693,57426,2461,41,35.15714285714286,0.5857142857142857,37.82877551020408,28.84795918367347,40.217018286405306
89,80,1000,1474619492636,1474619554550,61.914,1474619493889,1474619552488,58599,2680,64,33.5,0.8,33.82609375,25.833125000000003,43.285848111897145
110,90,0,1474626082032,1474626143942,61.91,1474626083260,1474626139666,56406,2334,88,25.933333333333334,0.9777777777777777,38.57827160493827,32.2841975308642,37.69988693264416
111,100,1000,1474626441818,1474626503881,62.063,1474626443141,1474626500764,57623,2493,79,24.93,0.79,36.1775,21.898000000000003,40.168860673831425
112,100,900,1474626813359,1474626875792,62.433,1474626814838,1474626872261,57423,2357,143,23.57,1.43,38.0407,33.8358,37.75247064853523
113,100,800,1474627191553,1474627254080,62.527,1474627193022,1474627250113,57091,2182,150,21.82,1.5,40.4191,42.013000000000005,34.89692452860364
114,100,700,1474627568762,1474627630545,61.783,1474627570310,1474627626263,55953,2300,84,23.0,0.84,39.6808,28.59,37.22706893482026
115,100,600,1474627936799,1474627998732,61.933,1474627938122,1474627994911,56789,2289,89,22.89,0.89,39.4649,24.5762,36.9592947217154
116,100,500,1474628296137,1474628357468,61.331,1474628297409,1474628354431,57022,2314,112,23.14,1.12,39.1333,30.016599999999997,37.72969623844385
117,100,400,1474628665436,1474628727383,61.947,1474628666716,1474628724347,57631,2491,109,24.91,1.09,36.526399999999995,29.046300000000002,40.21179395289521
90,80,900,1474619793415,1474619855129,61.714,1474619794478,1474619851434,56956,2144,198,26.8,2.475,38.63515625,52.57062499999999,34.74090157824805
118,100,300,1474629038645,1474629100507,61.862,1474629039909,1474629098147,58238,2403,83,24.03,0.83,37.5845,26.1544,38.84452491028418
91,80,800,1474620091723,1474620153088,61.365,1474620092720,1474620151229,58509,2727,67,34.0875,0.8375,32.343593750000004,49.5675,44.439012466389634
119,100,200,1474629394141,1474629455904,61.763,1474629395364,1474629453770,58406,2940,110,29.4,1.1,31.159200000000002,16.0999,47.60131470297751
92,80,700,1474620390225,1474620451739,61.514,1474620391199,1474620449882,58683,2596,80,32.45,1.0,34.31953125,39.0090625,42.20177520564424
93,80,600,1474620686254,1474620748043,61.789,1474620687362,1474620745996,58634,2659,69,33.2375,0.8625,33.795,27.458906250000002,43.03354966094289
94,80,500,1474620986871,1474621048907,62.036,1474620988197,1474621046538,58341,2227,151,27.8375,1.8875,38.63125,39.673125,35.89851054226578
95,80,400,1474621284494,1474621346012,61.518,1474621285517,1474621342894,57377,2301,67,28.7625,0.8375,39.43859375,29.442812500000002,37.40368672583634
96,80,300,1474621581835,1474621643598,61.763,1474621582896,1474621641552,58656,2677,61,33.4625,0.7625,33.51484375,38.33453125,43.34310185709891
97,80,200,1474621880235,1474621941455,61.22,1474621881288,1474621939301,58013,2351,77,29.3875,0.9625,38.20203125,44.9309375,38.40248284874224
10,1,100,1474601593502,1474601653436,59.934,1474601593502,1474601653436,59934,1148,0,1148.0,0.0,49.0,0.0,19.154403176827845
98,80,100,1474622177561,1474622238986,61.425,1474622178613,1474622237007,58394,2337,101,29.2125,1.2625,37.826406250000005,40.241875,38.046398046398046
11,1,0,1474601700397,1474601760356,59.959,1474601700397,1474601760356,59959,2030,0,2030.0,0.0,44.0,0.0,33.85646858686769
99,80,0,1474622472739,1474622534425,61.686,1474622473795,1474622530955,57160,2507,41,31.3375,0.5125,37.049062500000005,14.8615625,40.64131245339299
12,10,1000,1474601830372,1474601890750,60.378,1474601830651,1474601890291,59640,1174,0,117.4,0.0,17.21,0.0,19.444168405710688
13,10,900,1474601971105,1474602030929,59.824,1474601971325,1474602030851,59526,1300,0,130.0,0.0,18.66,0.0,21.730409200320942
14,10,800,1474602112007,1474602171980,59.973,1474602112235,1474602171900,59665,1460,0,146.0,0.0,19.39,0.0,24.344288263051705
15,10,700,1474602253823,1474602314100,60.277,1474602254040,1474602313769,59729,1654,0,165.4,0.0,14.35,0.0,27.43998540073328
16,10,600,1474602396589,1474602456861,60.272,1474602396800,1474602456538,59738,1936,0,193.6,0.0,13.98,0.0,32.121051234404035
17,10,500,1474602539409,1474602599731,60.322,1474602539655,1474602599386,59731,2298,0,229.8,0.0,14.38,0.0,38.095553860946254
18,10,400,1474602683261,1474602743574,60.313,1474602683513,1474602743326,59813,2792,0,279.2,0.0,14.330000000000002,0.0,46.291844212690464
19,10,300,1474602829481,1474602889791,60.31,1474602829727,1474602889559,59832,3404,0,340.4,0.0,16.830000000000002,0.0,56.441717791411044
120,100,100,1474629757171,1474629819490,62.319,1474629758474,1474629816691,58217,2699,77,26.99,0.77,33.7136,20.644899999999996,43.30942409217093
121,100,0,1474630122417,1474630184355,61.938,1474630123786,1474630181747,57961,2307,63,23.07,0.63,40.0655,20.1078,37.24692434369854
1,1,1000,1474600616783,1474600676664,59.881,1474600616783,1474600676664,59881,120,0,120.0,0.0,120.0,0.0,2.003974549523221
