expriment name, sensor no,interval,virtuoso memory start, virtuoso memory end,virtuoso memory used,virtuso memory avg,virtuoso cpu used %,virtuoso memory%,jboss memory start,jboss memory end,jboss memory used,jboss memory avg,jboss cpu used %,jboos memory%,gsn memory start,gsn memory end,gsn memory used,gsn memory avg,gsn cpu used %,gsn memory%
1,10,1000,309.023,619.785,310.762,479.0773077,6.015384615,48.72307692,966.184,963.738,-2.446,967.7246667,12.13333333,7.783333333,85.8828,941.238,855.3552,870.2981385,10.92307692,33.33076923
2,10,900,310.359,585.105,274.746,470.2384286,5.885714286,43.9,0.97207,975.68,974.70793,70.03853866,12.61428571,70.75,855.035,930.496,75.461,923.7973077,11.6,30.57692308
3,10,800,305.414,598.828,293.414,473.5455333,5.926666667,44.66666667,9.66E-04,960.402,960.4010342,256.9207736,12.53333333,43.47333333,693.004,969.625,276.621,944.2386429,11.8,25.41428571
4,10,700,302.246,641.703,339.457,499.7603846,6.246153846,44.50769231,0.960352,962.555,961.594648,107.4861302,12.41111111,52.6,856.695,964.773,108.078,955.04975,11.95833333,20.00833333
5,10,600,300.32,591.391,291.071,480.8236923,6.030769231,42.05384615,0.961621,970.578,969.616379,150.0573559,12.55384615,55.1,848.797,915.109,66.312,908.9596667,11.4,22.75
6,10,500,305.312,566.531,261.219,473.832,5.938461538,48.72307692,9.59E-04,956.859,956.858041,296.1703174,12.50769231,41.88461538,860.91,924.598,63.688,918.6049167,11.50833333,22.225
7,10,400,299.449,605.758,306.309,481.4862308,6.053846154,43.6,932.691,969.156,36.465,943.82875,11.825,11.65,864.434,921.195,56.761,915.6023333,11.44166667,25
8,10,300,306.871,631.406,324.535,495.6032308,6.207692308,43.59230769,939.914,976.414,36.5,951.04875,11.925,19.175,849.078,913.5,64.422,906.8099167,11.33333333,28.3
9,10,200,294.332,608.289,313.957,476.3518462,5.976923077,49.32307692,9.67E-04,972.445,972.4440332,108.1575693,12.67777778,65.17777778,845.434,914.254,68.82,905.0040833,11.35833333,28.30833333
10,10,100,307.414,598.227,290.813,481.8229231,6.038461538,51.92307692,969.637,975.715,6.078,971.6836667,12.13333333,55.56666667,866.578,970.672,104.094,961.0938333,12.06666667,31.13333333
11,10,0,306.211,654.215,348.004,497.8492308,6.215384615,68.43076923,928.723,956.582,27.859,936.80675,11.725,68.35,847.297,948.09,100.793,936.97825,11.75833333,32.23333333
12,20,1000,401.434,739.523,338.089,637.6272143,7.978571429,74.95,9.78E-04,0.961035,0.960057461,0.618492334,12.5,56.16428571,840.496,947.043,106.547,935.1144615,11.73076923,29.1
13,20,900,401.84,763.977,362.137,651.6892143,8.157142857,73.33571429,0.968262,965.141,964.172738,193.8045672,12.38,97.32,553.258,948.445,395.187,913.9325385,11.46153846,28.64615385
14,20,800,387.723,776.359,388.636,645.9266429,8.085714286,89.42857143,9.70E-04,949.809,949.8080303,614.0006989,12.2,56.67142857,557.586,950.52,392.934,915.9506154,11.47692308,29.23076923
15,20,700,398.051,789.484,391.433,661.9145,8.285714286,82.31428571,9.59E-04,969.215,969.214041,194.0372662,12.44,84,551.742,910.879,359.137,879.5072308,11.00769231,29.82307692
16,20,600,394.727,783.156,388.429,655.1222857,8.207142857,92.54285714,9.83E-04,0.955469,0.954485602,0.616727618,12.5,60.68571429,557.34,947.332,389.992,913.2695385,11.46923077,25.63846154
17,20,500,400.332,784.539,384.207,652.4983571,8.178571429,80.26428571,920.422,920.355,-0.067,920.655,11.5,60,560.844,936.598,375.754,904.7926923,11.30769231,34.83846154
18,20,400,397.457,778.051,380.594,645.9673571,8.078571429,111.2285714,9.78E-04,9.79E-04,1.95E-06,9.87E-04,12.95714286,72.02142857,564.926,945.523,380.597,892.3541538,11.17692308,34.83076923
